Date,open,high,low,close,volume
5/11/2018,45.6644,45.8018,45.1728,45.4475,104848884
5/14/2018,45.5488,45.6741,45.2716,45.3415,83115088
5/15/2018,45.0114,45.0812,44.6065,44.9294,94780636
5/16/2018,44.8403,45.4162,44.8234,45.3487,76732256
5/17/2018,45.3054,45.5247,44.9101,45.062,69176116
5/18/2018,45.1102,45.2596,44.8547,44.8981,73190912
5/21/2018,45.3054,45.6114,45.0428,45.2162,73603148
5/22/2018,45.3957,45.5174,45.0114,45.1029,60962816
5/23/2018,44.9077,45.4259,44.7656,45.3921,80233660
5/24/2018,45.4909,45.5078,44.874,45.3415,92935900
5/25/2018,45.3608,45.703,45.221,45.4451,69843852
5/29/2018,45.209,45.4861,45.033,45.2813,90056300
5/30/2018,45.2379,45.3054,45.0114,45.1849,74762188
5/31/2018,45.1174,45.3608,44.8571,45.033,109931172
6/1/2018,45.3032,45.85,45.2451,45.8452,93770040
6/4/2018,46.1813,46.6115,46.1127,46.2283,105064696
6/5/2018,46.526,46.7368,46.3561,46.585,86263852
6/6/2018,46.6621,46.7706,46.25,46.7465,83734476
6/7/2018,46.785,46.7995,46.35,46.6211,85388720
6/8/2018,46.0693,46.2693,45.7319,46.197,106627196
6/11/2018,46.1127,46.2621,45.8379,46.0837,73233840
6/12/2018,46.1211,46.4165,46.0645,46.3368,67644564
6/13/2018,46.3705,46.4814,45.8934,45.956,86553572
6/14/2018,46.1609,46.1657,45.8403,45.9801,86440296
6/15/2018,45.7946,45.8259,45.368,45.5078,246876640
6/18/2018,45.2764,45.5994,45.1126,45.4837,73939460
6/19/2018,44.6161,44.9029,44.2089,44.7487,134313820
6/20/2018,44.9077,45.1126,44.7583,44.9439,82514804
6/21/2018,45.1246,45.3897,44.5679,44.6933,102847592
6/22/2018,44.8523,44.8595,44.5101,44.5631,108801788
6/25/2018,44.1968,44.5631,43.5534,43.9004,126652384
6/26/2018,44.098,44.9511,43.9896,44.445,98276804
6/27/2018,44.6373,45.1318,44.3486,44.38,101141312
